,Alanine (g),"Alcohol, ethyl (g)",Arginine (g),Ash (g),Aspartic acid (g),Beta-sitosterol (g),Betaine (g),Butanoic acid (g),Caffeine (g),"Calcium, Ca (g)",Calories (g),Campesterol (g),Carbohydrate (g),"Carotene, alpha (g)","Carotene, beta (g)",Cholesterol (g),Choline (g),"Cis,cis,cis-octadecatrienoic n-3 acid (g)","Cis,cis,cis-octadecatrienoic n-6 acid (g)","Cis,cis-eicosadienoic n-6 acid (g)","Cis,cis-octadecadienoic n-6 acid (g)",Cis-hexadecenoic acid (g),Cis-octadecenoic acid (g),"Copper, Cu (g)","Cryptoxanthin, beta (g)",Cystine (g),Decanoic acid (g),Dihydrophylloquinone (g),Docosahexaenoic n-3 acid (g),Docosanoic acid (g),Docosapentaenoic n-3 acid (g),Docosatetraenoic acid (g),Docosenoic acid (g),Docosenoic cis acid (g),Docosenoic trans acid (g),Dodecanoic acid (g),Eicosadienoic acid (g),Eicosadienoic n-3 acid (g),Eicosadienoic n-6 acid (g),Eicosanoic acid (g),Eicosapentaenoic n-3 acid (g),Eicosatetraenoic acid (g),Eicosenoic acid (g),Fat (g),"Fatty acids, total trans (g)","Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",Fiber (g),"Fluoride, F (g)",Folate (g),Folic acid (g),Fructose (g),Galactose (g),Glucose (dextrose) (g),Glutamic acid (g),Glycine (g),Heptadecanoic acid (g),Heptadecenoic acid (g),Hexadecanoic acid (g),Hexadecenoic acid (g),Hexanoic acid (g),Histidine (g),Hydroxyproline (g),Irans-Octadecadienoic acid (g),"Iron, Fe (g)",Isoleucine (g),Lactose (g),Leucine (g),Lutein + zeaxanthin (g),Lycopene (g),Lysine (g),"Magnesium, Mg (g)",Maltose (g),"Manganese, Mn (g)",Menaquinone-4 (g),Methionine (g),Monounsaturated fatty acids (g),Niacin (g),Octadecadienoic CLAs acid (g),Octadecadienoic acid (g),Octadecanoic acid (g),Octadecatetraenoic acid (g),Octadecatrienoic acid (g),Octadecenoic acid (g),Octanoic acid (g),Pantothenic acid (g),Pentadecanoic acid (g),Pentadecenoic acid (g),Phenylalanine (g),"Phosphorus, P (g)",Phytosterols (g),Polyunsaturated fatty acids (g),"Potassium, K (g)",Proline (g),Protein (g),Riboflavin (g),Saturated fatty acids (g),"Selenium, Se (g)",Serine (g),Serving Size (g),"Sodium, Na (g)",Starch (g),Stigmasterol (g),Sucrose (g),Sugars (g),Tetracosanoic acid (g),Tetracosenoic cis acid (g),Tetradecanoic acid (g),Tetradecenoic acid (g),Theobromine (g),Thiamin (g),Threonine (g),"Tocopherol, alpha (g)","Tocopherol, beta (g)","Tocopherol, delta (g)","Tocopherol, gamma (g)","Tocotrienol, alpha (g)","Tocotrienol, beta (g)","Tocotrienol, delta (g)","Tocotrienol, gamma (g)","Trans,trans-octadecadienoic acid (g)",Trans-hexadecenoic acid (g),Trans-octadecadienoic acid (g),Trans-octadecatrienoic acid (g),Trans-octadecenoic acid (g),Tridecanoic acid (g),Tryptophan (g),Tyrosine (g),Uncosapentaenoic acid (g),Valine (g),Vitamin A (IU),"Vitamin A, RAE (g)",Vitamin B12 (g),Vitamin B6 (g),Vitamin C (g),Vitamin D (IU),Vitamin D2 (ergocalciferol) (g),Vitamin D3 (cholecalciferol) (g),Vitamin E (g),Vitamin K (g),Water (g),"Zinc, Zn (g)"
"Chicken, barbecue flavored, glazed, frozen, wing",1.082,0.0,1.188,2.53,1.644,0.0,0.0,0.0,0.0,0.028,0.0,0.0,3.34,0.0,0.0,0.126,0.0,0.0,0.0,0.02,0.0,0.0,0.0,3.9e-05,0.0,0.184,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.007,0.0,0.077,0.043,12.67,0.0,0.0,0.0,0.6,0.0,9.999999999999999e-06,0.0,0.51,0.0,1.16,2.527,1.268,0.007,0.0,2.637,0.96,0.0,0.462,0.511,0.0,0.0024100000000000002,0.745,0.0,1.278,0.0,0.0,1.352,0.02,0.04,0.0,0.0,0.414,5.766,0.0055,0.0,2.073,0.607,0.02,0.117,4.737,0.0,0.000545,0.0,0.0,0.726,0.20500000000000002,0.0,2.359,0.19,0.906,19.67,0.000242,3.321,3.32e-05,0.708,100.0,0.615,0.73,0.0,0.34,2.04,0.0,0.0,0.063,0.027,0.0,7.4e-05,0.743,0.00035999999999999997,0.0,8.999999999999999e-05,0.0004,5e-05,0.0,0.0,7.000000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.493,0.0,0.809,58.0,1.7e-05,4e-07,0.00014199999999999998,0.0,0.0,0.0,0.0,0.00035999999999999997,0.0,61.79,0.00114
"Chicken, meat only, wing, BBQ, rotisserie, broiler",1.525,0.0,1.689,0.98,2.528,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.54,0.0,0.0,0.134,0.0695,0.0,0.0,0.0,0.0,0.0,0.0,6.6e-05,0.0,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.023,7.79,0.0,0.0,0.0,0.0,0.0,7e-06,0.0,0.13,0.0,0.19,3.981,1.402,0.0,0.0,1.697,0.582,0.0,0.747,0.0,0.0,0.0009699999999999999,1.269,0.0,2.139,0.0,0.0,2.221,0.024,0.0,0.0,0.0,0.809,3.61,0.0076760000000000005,0.0,1.167,0.392,0.0,0.071,3.005,0.0,0.0,0.0,0.0,1.064,0.264,0.0,1.266,0.322,1.73,28.34,0.00013800000000000002,2.134,5.11e-05,0.686,100.0,0.725,0.0,0.0,0.22,0.53,0.0,0.0,0.046,0.0,0.0,9.2e-05,0.737,0.00037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287,0.829,0.0,1.433,37.0,1.1e-05,3.8999999999999997e-07,0.000184,0.0,0.0,0.0,0.0,0.00037,0.0,62.87,0.0020499999999999997
"Chicken, meatless",0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,3.64,0.0,0.0,0.0,0.0716,0.0,0.0,0.0,0.0,0.0,0.0,0.0006889999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.73,0.0,0.0,0.0,3.6,0.0,7.599999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,0.00327,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.001177,0.0,0.0,2.355,0.001454,0.0,4.462,0.397,0.0,0.56,2.355,0.0,0.000579,0.0,0.0,0.0,0.335,0.0,5.022,0.054,0.0,23.64,0.000247,1.534,7.4e-06,0.0,100.0,0.709,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,6.2e-05,0.0,0.00268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18e-06,0.0007,0.0,0.0,0.0,0.0,0.00268,0.0,58.84,0.0007
"Chicken, no broth, canned",0.0,0.0,0.0,0.8,0.0,0.0,0.0054,0.0,0.0,0.014,0.0,0.0,0.9,0.0,0.0,0.05,0.0738,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,0.0,0.0,0.0,0.211,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.074,0.084,8.1,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.713,0.465,0.0,0.0,0.0,0.0,0.0013000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,3.279,0.0024,0.0,1.597,0.465,0.0,0.074,2.73,0.0,0.0,0.0,0.0,0.0,0.153,0.0,1.978,0.153,0.0,25.3,0.0001,2.25,1.8399999999999997e-05,0.0,100.0,0.482,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,5.3e-05,1e-06,0.00019,0.0,5.0,0.0,1e-07,0.00032,2.2999999999999996e-06,64.9,0.0025
"Chicken, raw, ground",0.991,0.0,1.128,1.17,1.616,0.0,0.0077,0.0,0.0,0.006,0.0,0.0,0.04,0.0,0.0,0.08600000000000001,0.0588,0.057,0.014,0.011,1.303,0.0,2.992,6.500000000000001e-05,0.0,0.188,0.0,0.0,0.023,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.074,0.025,8.1,0.065,0.042,0.022,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,2.611,0.838,0.007,0.0,1.791,0.536,0.0,0.529,0.094,0.0,0.00082,0.794,0.0,1.361,0.0,0.0,1.509,0.021,0.0,1.6e-05,0.0,0.446,3.611,0.005575,0.0,1.324,0.456,0.0,0.071,3.035,0.0,0.001092,0.0,0.0,0.683,0.178,0.0,1.508,0.522,0.658,17.44,0.000241,2.301,1.0199999999999999e-05,0.731,100.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.016,0.0,0.000109,0.727,0.00027,0.0,3e-05,0.00017,5e-05,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.042,0.0,0.147,0.604,0.0,0.826,0.0,0.0,5.6e-07,0.000512,0.0,0.0,0.0,0.0,0.00027,8e-07,73.24,0.00147
"Chicken, raw, meat only, wing, broilers or fryers",1.199,0.0,1.325,0.83,1.958,0.0,0.0085,0.0,0.0,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.057,0.0658,0.0,0.0,0.0,0.0,0.0,0.0,4.1e-05,0.0,0.281,0.0,0.0,0.05,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.12,0.01,3.54,0.07,0.0,0.0,0.0,0.0,4e-06,0.0,0.0,0.0,0.0,3.29,1.079,0.0,0.0,0.6,0.08,0.0,0.682,0.0,0.0,0.00088,1.16,0.0,1.649,0.0,0.0,1.866,0.022,0.0,1.8e-05,0.0,0.608,0.85,0.007359,0.0,0.47,0.29,0.0,0.02,0.73,0.0,0.0008359999999999999,0.0,0.0,0.872,0.155,0.0,0.8,0.194,0.903,21.97,0.000101,0.94,1.78e-05,0.756,100.0,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,5.9e-05,0.928,0.00013000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.742,0.0,1.09,59.0,1.8e-05,3.7999999999999996e-07,0.0005300000000000001,0.0012,5.0,0.0,1e-07,0.00013000000000000002,0.0,74.95,0.00163
"Chicken, with broth, meat only, canned",1.258,0.0,1.355,1.81,1.926,0.0,0.0047,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.062,0.064,0.0,0.0,0.0,0.0,0.0,0.0,4.6e-05,0.0,0.297,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.07,0.08,7.95,0.0,0.0,0.0,0.0,0.0,4e-06,0.0,0.0,0.0,0.0,3.173,1.389,0.0,0.0,1.62,0.44,0.0,0.636,0.0,0.0,0.00158,1.085,0.0,1.578,0.0,0.0,1.764,0.012,0.0,1.5e-05,0.0,0.574,3.15,0.0063289999999999996,0.0,1.51,0.44,0.0,0.07,2.59,0.0,0.00085,0.0,0.0,0.842,0.111,0.0,1.75,0.138,1.04,21.77,0.00012900000000000002,2.2,1.58e-05,0.762,100.0,0.503,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.5e-05,0.895,0.00026000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243,0.699,0.0,1.052,117.0,3.4e-05,2.9e-07,0.00035,0.002,5.0,0.0,1e-07,0.00026000000000000003,1.8e-06,68.65,0.00141
"Chives, freeze-dried",0.957,0.0,1.533,9.01,1.961,0.0,0.0,0.0,0.0,0.8130000000000001,0.0,0.0,64.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006860000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,26.2,0.0,0.000108,0.0,0.0,0.0,0.0,4.386,1.052,0.0,0.0,0.528,0.0,0.0,0.366,0.0,0.0,0.02,0.899,0.0,1.265,0.0,0.0,1.058,0.64,0.0,0.00135,0.0,0.231,0.49,0.005900000000000001,0.0,1.296,0.046,0.0,0.073,0.49,0.0,0.002106,0.0,0.0,0.682,0.518,0.0,1.369,2.96,1.401,21.2,0.0015,0.591,9.4e-06,0.957,100.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0009000000000000001,0.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237,0.614,0.0,0.936,68300.0,0.0034149999999999996,0.0,0.001996,0.66,0.0,0.0,0.0,0.0,0.0,2.0,0.00512
"Chives, raw",0.148,0.0,0.237,1.0,0.303,0.0,0.0,0.0,0.0,0.092,0.0,0.0,4.35,0.0,0.0026119999999999997,0.0,0.005200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.000157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,2.5,0.0,0.00010499999999999999,0.0,0.0,0.0,0.0,0.677,0.162,0.0,0.0,0.103,0.0,0.0,0.057,0.0,0.0,0.0016,0.139,0.0,0.195,0.000323,0.0,0.163,0.042,0.0,0.000373,0.0,0.036,0.095,0.000647,0.0,0.252,0.009,0.0,0.015,0.095,0.0,0.000324,0.0,0.0,0.105,0.058,0.009000000000000001,0.267,0.296,0.216,3.27,0.000115,0.146,9e-07,0.148,100.0,0.003,0.0,0.0,0.0,1.85,0.0,0.0,0.034,0.0,0.0,7.8e-05,0.128,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.095,0.0,0.145,4353.0,0.00021799999999999999,0.0,0.00013800000000000002,0.058100000000000006,0.0,0.0,0.0,0.00021,0.00021269999999999997,90.65,0.0005600000000000001
"Cinnamon buns, frosted (includes honey buns)",0.18,0.0,0.218,1.36,0.297,0.0,0.024100000000000003,0.007,0.0,0.183,0.0,0.0,48.6,0.0,1e-06,0.005,0.0106,0.225,0.0,0.006,3.352,0.052,8.377,6.2e-05,0.0,0.093,0.026,4.1e-06,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.0,0.094,0.002,0.006,0.064,26.61,0.295,0.223,0.072,1.2,0.0,7.2e-05,5.3e-05,1.11,0.0,3.05,1.553,0.172,0.03,0.007,10.152,0.052,0.0,0.126,0.0,0.0,0.0013700000000000001,0.226,0.0,0.41,6e-06,0.0,0.215,0.014,1.43,0.000292,0.0,0.104,8.723,0.002404,0.011,3.436,1.884,0.0,0.225,8.599,0.013,0.000337,0.014,0.0,0.264,0.131,0.0,3.676,0.10200000000000001,0.568,4.45,0.00013800000000000002,12.649,1.3e-05,0.273,100.0,0.305,16.39,0.0,20.11,25.7,0.021,0.0,0.261,0.0,0.0,0.000211,0.176,0.00115,0.0001,0.00083,0.00213,0.00046,0.00039000000000000005,0.00037,0.00071,0.0,0.0,0.072,0.0,0.223,0.0,0.068,0.189,0.0,0.255,2.0,0.0,1.6e-07,3.8e-05,0.0003,0.0,0.0,0.0,0.00115,1.5199999999999998e-05,18.98,0.0005300000000000001
"Cocoa mix, Rich Chocolate Hot Cocoa Mix, NESTLE",0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.25,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,100.0,0.85,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,0.0
"Cocoa, plain, hi-fat or breakfast, dry powder",0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.197,0.122,0.0,0.0,51.39,0.0,0.0,0.0,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.00361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.71,0.0,0.0,0.0,29.8,0.0,3.7999999999999995e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.787,0.0,0.0,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,3.4e-05,0.0,0.0,0.519,0.0,0.0,0.0,0.0,7.38,0.0018000000000000002,0.0,0.769,6.7,0.0,0.0,7.38,0.0,0.0,0.0,0.0,0.0,0.758,0.0,0.769,1.574,0.0,16.8,0.00037,12.64,1.23e-05,0.0,100.0,0.02,0.0,0.0,0.0,1.55,0.0,0.0,0.028,0.0,1.7630000000000001,8e-05,0.0,8.999999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019,0.0,0.0,0.0,0.0,8.999999999999999e-05,2.2999999999999996e-06,3.0,0.0067
"Cocoa, unsweetened, dry powder",0.904,0.0,1.111,5.8,1.953,0.0,0.0,0.0,0.23,0.128,0.0,0.0,57.9,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0037879999999999997,0.0,0.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,0.0,0.0,37.0,0.0,3.2e-05,0.0,0.0,0.0,0.0,2.948,0.879,0.0,0.0,3.69,0.0,0.0,0.339,0.0,0.0,0.013859999999999999,0.76,0.0,1.189,3.7999999999999995e-05,0.0,0.983,0.499,0.0,0.003837,0.0,0.202,4.57,0.0021850000000000003,0.0,0.44,4.25,0.0,0.0,4.57,0.0,0.000254,0.0,0.0,0.941,0.734,0.0,0.44,1.524,0.838,19.6,0.000241,8.07,1.43e-05,0.846,100.0,0.021,0.0,0.0,0.0,1.75,0.0,0.0,0.02,0.0,2.057,7.8e-05,0.776,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293,0.735,0.0,1.177,0.0,0.0,0.0,0.000118,0.0,0.0,0.0,0.0,0.0001,2.4999999999999998e-06,3.0,0.00681
"Cookies, chocolate-coated, graham crackers",0.134,0.0,0.154,1.42,0.22,0.0,0.0,0.004,0.003,0.046,0.0,0.0,66.78,0.0,0.0,0.001,0.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.000194,0.0,0.071,0.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.741,0.001,0.0,0.0,0.0,0.0,0.0,0.0,25.8,0.55,0.0,0.0,2.2,0.0,4.9999999999999996e-05,3.7999999999999995e-05,0.0,0.0,0.0,1.058,0.131,0.0,0.0,1.832,0.002,0.043,0.079,0.0,0.0,0.002,0.142,0.0,0.264,1.3e-05,0.0,0.131,0.016,0.0,0.00046400000000000006,0.0,0.063,2.7,0.0017,0.0,4.506,0.704,0.0,0.053,2.689,0.685,0.000377,0.001,0.0,0.178,0.08700000000000001,0.0,4.9,0.267,0.362,4.0,0.00015,17.2,1.1099999999999999e-05,0.182,100.0,0.265,0.0,0.0,0.0,37.3,0.0,0.0,3.406,0.0,0.088,0.00027,0.126,0.00099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.118,0.0,0.17,8.0,2e-06,1e-07,6.4e-05,0.0001,1.0,0.0,0.0,0.00099,6.4e-06,2.0,0.0002
"Cookies, coconut macaroon",0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,61.22,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.0,0.00026900000000000003,0.0,0.0,1.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.55,0.0,0.0,0.0,5.1,0.0,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.987,0.004,0.128,0.0,0.0,0.0,0.00082,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,1.61,0.00022,0.0,0.762,1.186,0.0,0.048,1.606,1.58,0.0,0.0,0.0,0.0,0.068,0.0,0.81,0.123,0.0,3.02,6e-05,20.099,6.799999999999999e-06,0.0,100.0,0.241,0.0,0.0,0.0,45.16,0.0,0.0,3.953,0.0,0.0,2e-05,0.0,0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6e-05,0.0,0.0,0.0,0.0,0.00019,1.1e-06,11.5,0.00073
"Cookies, dry mix, chocolate chip",0.143,0.0,0.166,1.2,0.232,0.0,0.0,0.0,0.012,0.043000000000000003,0.0,0.0,66.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,0.0,0.0,0.0,0.0,5.1e-05,4.4999999999999996e-05,0.0,0.0,0.0,1.397,0.146,0.0,0.0,3.996,0.018,0.0,0.089,0.0,0.0,0.00207,0.189,0.0,0.337,0.0,0.0,0.184,0.036000000000000004,0.0,0.000363,0.0,0.081,13.077,0.00199,0.0,2.486,4.116,0.0,0.134,13.061,0.0,0.000171,0.0,0.0,0.224,0.08,0.0,2.62,0.20800000000000002,0.484,4.6,0.000205,8.316,2.4e-06,0.235,100.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.091,0.00019500000000000002,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.148,0.0,0.222,4.0,0.0,0.0,1.7000000000000003e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0006
"Cookies, lowfat, plain or honey, graham crackers",0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.429,0.0,0.0,77.96,0.0,2e-06,0.0,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.00019700000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,5.71,0.0,0.0,0.0,5.7,0.0,7.999999999999999e-05,5.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.00309,0.0,0.0,0.0,0.00010499999999999999,0.0,0.0,0.056,0.0,0.0,0.0,0.0,1.718,0.003818,0.0,3.157,0.0,0.0,0.21,1.701,0.0,0.0,0.0,0.0,0.0,0.163,0.0,3.367,0.171,0.0,5.71,0.000236,0.0,3.37e-05,0.0,100.0,0.629,0.0,0.0,0.0,22.86,0.0,0.0,0.0,0.0,0.0,0.000453,0.0,0.00086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.000158,0.0,0.0,0.0,0.0,0.00086,2.4999999999999998e-06,8.01,0.00116
"Coriander (cilantro) leaves, raw",0.0,0.0,0.0,1.47,0.0,0.002,0.0,0.0,0.0,0.067,0.0,0.0,3.67,3.6e-05,0.0039299999999999995,0.0,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.00022500000000000002,0.000202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,2.8,0.0,6.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.002,0.0,0.0,0.0,0.0,0.00177,0.0,0.0,0.0,0.000865,0.0,0.0,0.026000000000000002,0.0,0.000426,0.0,0.0,0.275,0.0011140000000000002,0.0,0.04,0.001,0.0,0.0,0.273,0.0,0.00057,0.0,0.0,0.0,0.048,0.005,0.04,0.521,0.0,2.13,0.000162,0.014,9e-07,0.0,100.0,0.046,0.0,0.003,0.0,0.87,0.0,0.0,0.0,0.0,0.0,6.7e-05,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6748.0,0.000337,0.0,0.000149,0.027,0.0,0.0,0.0,0.0025,0.00031,92.21,0.0005
"Corn bran, crude",0.0,0.0,0.0,0.36,0.0,0.0,0.0046,0.0,0.0,0.042,0.0,0.0,85.64,2.1e-05,3.2e-05,0.0,0.0181,0.0,0.0,0.0,0.0,0.0,0.0,0.000248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,79.0,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.001,0.0,0.0,0.0,0.0,0.00279,0.0,0.0,0.0,0.0013549999999999999,0.0,0.0,0.064,0.0,0.00014000000000000001,0.0,0.0,0.243,0.002735,0.0,0.408,0.015,0.0,0.013,0.243,0.0,0.0006360000000000001,0.0,0.0,0.0,0.07200000000000001,0.0,0.421,0.044,0.0,8.36,0.0001,0.13,1.6499999999999998e-05,0.0,100.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.00042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,4e-06,0.0,0.000152,0.0,0.0,0.0,0.0,0.00042,3e-07,4.71,0.0015600000000000002
