,18,Adjusted Protein,Alanine,"Alcohol, ethyl",Arginine,Ash,Aspartic acid,Beta-sitosterol,Betaine,Butanoic acid,Caffeine,"Calcium, Ca",Calories,Campesterol,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,"Cis,cis,cis-octadecatrienoic n-3 acid","Cis,cis,cis-octadecatrienoic n-6 acid","Cis,cis-eicosadienoic n-6 acid","Cis,cis-octadecadienoic n-6 acid",Cis-hexadecenoic acid,Cis-octadecenoic acid,"Copper, Cu","Cryptoxanthin, beta",Cystine,Decanoic acid,Dihydrophylloquinone,Docosahexaenoic n-3 acid,Docosanoic acid,Docosapentaenoic n-3 acid,Docosatetraenoic acid,Docosenoic acid,Docosenoic cis acid,Docosenoic trans acid,Dodecanoic acid,Eicosadienoic acid,Eicosadienoic n-3 acid,Eicosadienoic n-6 acid,Eicosanoic acid,Eicosapentaenoic n-3 acid,Eicosatetraenoic acid,Eicosenoic acid,Fat,"Fatty acids, total trans","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic",Fiber,"Fluoride, F",Folate,Folic acid,Fructose,Galactose,Glucose (dextrose),Glutamic acid,Glycine,Heptadecanoic acid,Heptadecenoic acid,Hexadecanoic acid,Hexadecenoic acid,Hexanoic acid,Histidine,Hydroxyproline,Irans-Octadecadienoic acid,"Iron, Fe",Isoleucine,Lactose,Leucine,Lutein + zeaxanthin,Lycopene,Lysine,"Magnesium, Mg",Maltose,"Manganese, Mn",Menaquinone-4,Methionine,Monounsaturated fatty acids,Niacin,Octadecadienoic CLAs acid,Octadecadienoic acid,Octadecanoic acid,Octadecatetraenoic acid,Octadecatrienoic acid,Octadecenoic acid,Octanoic acid,Pantothenic acid,Pentadecanoic acid,Pentadecenoic acid,Phenylalanine,"Phosphorus, P",Phytosterols,Polyunsaturated fatty acids,"Potassium, K",Proline,Protein,Riboflavin,Saturated fatty acids,"Selenium, Se",Serine,Serving Size,"Sodium, Na",Starch,Stigmasterol,Sucrose,Sugars,Tetracosanoic acid,Tetracosenoic cis acid,Tetradecanoic acid,Tetradecenoic acid,Theobromine,Thiamin,Threonine,"Tocopherol, alpha","Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, delta","Tocotrienol, gamma","Trans,trans-octadecadienoic acid",Trans-hexadecenoic acid,Trans-octadecadienoic acid,Trans-octadecatrienoic acid,Trans-octadecenoic acid,Tridecanoic acid,Tryptophan,Tyrosine,Uncosapentaenoic acid,Valine,Vitamin A,"Vitamin A, RAE",Vitamin B12,Vitamin B6,Vitamin C,Vitamin D,Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin E,Vitamin K,Water,"Zinc, Zn"
"Cheese, fat free, cream",,,0.486 g,0.0 g,0.622 g,3.77 g,1.361 g,,,0.056 g,0.00 mg,351.00 mg,105,,7.66 g,0.00 mcg,11.00 mcg,12.00 mg,65.2 mg,0.006 g,0.000 g,0.000 g,,,,0.036 mg,0.00 mcg,0.111 g,0.035 g,0.0 mcg,0.000 g,0.002 g,0.001 g,,0.000 g,,,0.025 g,0.000 g,,,0.001 g,0.000 g,0.002 g,0.000 g,1.00 g,,,,0.0 g,,35.00 mcg,0.00 mcg,0.00 g,0.00 g,0.00 g,3.450 g,0.374 g,0.005 g,0.000 g,0.242 g,0.011 g,0.029 g,0.464 g,0.030 g,,0.19 mg,0.858 g,4.84 g,1.737 g,0.00 mcg,0.00 mcg,1.501 g,22.00 mg,0.00 g,0.017 mg,0.1 mcg,0.505 g,0.250 g,0.230 mg,,0.042 g,0.115 g,0.000 g,0.006 g,0.233 g,0.041 g,0.840 mg,0.009 g,0.000 g,0.769 g,523.00 mg,,0.057 g,278.00 mg,1.760 g,15.69 g,0.265 mg,0.644 g,4.9 mcg,0.990 g,100 g,702.00 mg,1.05 g,,0.64 g,5.48 g,,,0.083 g,0.006 g,0.00 mg,0.040 mg,0.616 g,0.02 mg,0.00 mg,0.00 mg,0.01 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.182 g,0.802 g,,1.045 g,53.00 IU,11.00 mcg,0.95 mcg,0.050 mg,0.0 mg,0.00 IU,,,0.02 mg,0.2 mcg,71.87 g,1.50 mg
"Cheese, grated, parmesan",,,0.859 g,0.0 g,1.157 g,7.18 g,1.975 g,,0.2 mg,0.493 g,0.00 mg,853.00 mg,420,,13.91 g,0.00 mcg,73.00 mcg,86.00 mg,14.1 mg,0.102 g,0.002 g,0.006 g,0.870 g,0.287 g,5.815 g,0.040 mg,0.00 mcg,0.090 g,0.632 g,0.0 mcg,0.000 g,0.012 g,0.015 g,0.007 g,0.001 g,0.001 g,0.000 g,0.726 g,0.027 g,0.002 g,0.026 g,0.046 g,0.000 g,0.040 g,0.049 g,27.84 g,0.876 g,0.704 g,0.172 g,0.0 g,,6.00 mcg,0.00 mcg,0.00 g,0.07 g,0.00 g,6.425 g,0.560 g,0.148 g,0.045 g,7.481 g,0.365 g,0.422 g,0.806 g,,,0.49 mg,1.455 g,0.00 g,2.747 g,0.00 mcg,0.00 mcg,2.201 g,34.00 mg,0.00 g,0.071 mg,7.1 mcg,0.751 g,7.130 g,0.080 mg,0.136 g,1.175 g,2.565 g,0.000 g,0.106 g,6.441 g,0.265 g,0.450 mg,0.240 g,0.000 g,1.538 g,627.00 mg,,1.386 g,180.00 mg,3.415 g,28.42 g,0.358 mg,15.371 g,34.4 mcg,1.694 g,100 g,1804.00 mg,,,0.00 g,0.07 g,0.009 g,0.000 g,2.333 g,0.229 g,0.00 mg,0.026 mg,1.075 g,0.53 mg,0.00 mg,0.00 mg,0.01 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,0.078 g,0.169 g,0.003 g,0.626 g,,0.383 g,1.720 g,,1.865 g,974.00 IU,262.00 mcg,1.40 mcg,0.081 mg,0.0 mg,21.00 IU,,0.5 mcg,0.53 mg,1.7 mcg,22.65 g,4.20 mg
"Cheese, hard, parmesan",,,1.048 g,0.0 g,1.317 g,6.04 g,2.236 g,,,1.299 g,0.00 mg,1184.00 mg,392,,3.22 g,0.00 mcg,66.00 mcg,68.00 mg,15.4 mg,,,,,,,0.032 mg,0.00 mcg,0.235 g,0.648 g,,0.000 g,,0.000 g,,0.000 g,,,0.873 g,,,,,0.000 g,0.000 g,0.000 g,25.83 g,,,,0.0 g,,7.00 mcg,0.00 mcg,,,,8.209 g,0.622 g,,,6.966 g,0.394 g,0.487 g,1.384 g,,,0.82 mg,1.894 g,,3.452 g,0.00 mcg,0.00 mcg,3.306 g,44.00 mg,,0.020 mg,,0.958 g,7.515 g,0.271 mg,,0.272 g,2.301 g,0.000 g,0.297 g,6.656 g,0.260 g,0.453 mg,,,1.922 g,694.00 mg,,0.569 g,92.00 mg,4.180 g,35.75 g,0.332 mg,16.410 g,22.5 mcg,2.068 g,100 g,1376.00 mg,,,,0.80 g,,,2.911 g,,0.00 mg,0.039 mg,1.317 g,0.22 mg,,,,,,,,,,,,,,0.482 g,1.995 g,,2.454 g,781.00 IU,207.00 mcg,1.20 mcg,0.091 mg,0.0 mg,19.00 IU,,0.5 mcg,0.22 mg,1.7 mcg,29.16 g,2.75 mg
"Cheese, low fat, cream",,,0.243 g,0.0 g,0.311 g,2.03 g,0.680 g,,,0.505 g,0.00 mg,148.00 mg,201,,8.13 g,0.00 mcg,11.00 mcg,54.00 mg,12.1 mg,0.083 g,0.000 g,0.000 g,,,,0.032 mg,0.00 mcg,0.055 g,0.396 g,0.0 mcg,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.440 g,0.000 g,,,0.024 g,0.000 g,0.027 g,0.015 g,15.28 g,,,,0.0 g,,19.00 mcg,0.00 mcg,0.00 g,0.00 g,0.00 g,1.725 g,0.187 g,0.081 g,0.018 g,3.998 g,0.211 g,0.146 g,0.232 g,0.000 g,,0.17 mg,0.429 g,5.82 g,0.869 g,0.00 mcg,0.00 mcg,0.750 g,8.00 mg,0.00 g,0.011 mg,5.4 mcg,0.252 g,3.996 g,0.125 mg,,0.464 g,1.738 g,0.000 g,0.083 g,3.632 g,0.175 g,0.845 mg,0.146 g,0.000 g,0.384 g,152.00 mg,,0.658 g,247.00 mg,0.880 g,7.85 g,0.185 mg,9.098 g,4.0 mcg,0.495 g,100 g,359.00 mg,1.35 g,,0.00 g,5.82 g,,,1.449 g,0.119 g,0.00 mg,0.040 mg,0.308 g,0.27 mg,0.00 mg,0.00 mg,0.02 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.091 g,0.401 g,,0.522 g,552.00 IU,161.00 mcg,0.92 mcg,0.045 mg,0.0 mg,11.00 IU,,0.3 mcg,0.27 mg,1.1 mcg,66.72 g,0.57 mg
"Cheese, nonfat, mozzarella",,,,0.0 g,,4.60 g,,,,0.000 g,0.00 mg,961.00 mg,141,,3.50 g,0.00 mcg,41.00 mcg,18.00 mg,15.4 mg,,,,,,,0.034 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.00 g,,,,1.8 g,,10.00 mcg,0.00 mcg,,,,,,,,0.000 g,0.000 g,0.000 g,,,,0.31 mg,,,,0.00 mcg,0.00 mcg,,33.00 mg,,,,,0.000 g,0.120 mg,,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,,,,,656.00 mg,,0.000 g,106.00 mg,,31.70 g,0.300 mg,0.000 g,18.9 mcg,,100 g,743.00 mg,,,,1.48 g,,,0.000 g,,0.00 mg,0.020 mg,,0.14 mg,,,,,,,,,,,,,,,,,,481.00 IU,127.00 mcg,0.92 mcg,0.080 mg,0.0 mg,0.00 IU,,0.0 mcg,0.14 mg,1.6 mcg,60.20 g,3.92 mg
"Cheese, queso seco, dry white",,,,,,6.93 g,,,0.4 mg,0.507 g,,661.00 mg,325,,2.04 g,0.00 mcg,33.00 mcg,78.00 mg,18.4 mg,0.110 g,0.009 g,0.007 g,0.705 g,0.336 g,5.109 g,0.027 mg,2.00 mcg,,0.585 g,,0.002 g,0.013 g,0.017 g,0.009 g,0.003 g,0.003 g,0.000 g,0.662 g,0.030 g,0.002 g,0.028 g,0.038 g,0.009 g,0.037 g,0.041 g,24.35 g,0.877 g,0.710 g,0.167 g,,,,,0.00 g,0.30 g,0.00 g,,,0.143 g,0.046 g,6.095 g,0.411 g,0.399 g,,,,0.18 mg,,0.25 g,,4.00 mcg,0.00 mcg,,27.00 mg,0.00 g,0.018 mg,5.9 mcg,,6.418 g,0.083 mg,0.134 g,1.006 g,2.593 g,0.006 g,0.119 g,5.744 g,0.253 g,0.398 mg,0.228 g,0.003 g,,475.00 mg,,1.244 g,116.00 mg,,24.51 g,0.230 mg,13.718 g,22.4 mcg,,100 g,1808.00 mg,,,0.00 g,0.55 g,0.009 g,0.003 g,2.179 g,0.167 g,,0.038 mg,,0.49 mg,0.00 mg,0.00 mg,0.04 mg,0.06 mg,0.01 mg,0.03 mg,0.10 mg,,0.075 g,0.167 g,,0.635 g,,,,,,800.00 IU,226.00 mcg,1.70 mcg,0.091 mg,,73.00 IU,,1.8 mcg,0.49 mg,1.5 mcg,42.17 g,3.28 mg
"Cheese, reduced fat, cheddar",,,,0.0 g,,3.89 g,,,,0.439 g,0.00 mg,761.00 mg,309,,4.06 g,0.00 mcg,28.00 mcg,76.00 mg,15.4 mg,0.061 g,0.000 g,0.003 g,0.495 g,0.260 g,4.175 g,0.043 mg,1.00 mcg,,0.563 g,,0.000 g,0.009 g,0.010 g,0.006 g,0.002 g,0.002 g,0.000 g,0.641 g,0.025 g,0.000 g,0.025 g,0.031 g,0.006 g,0.035 g,0.040 g,20.41 g,0.733 g,0.581 g,0.152 g,0.0 g,,20.00 mcg,0.00 mcg,0.00 g,0.07 g,0.00 g,,,0.128 g,0.038 g,5.759 g,0.327 g,0.361 g,,,,0.12 mg,,0.18 g,,4.00 mcg,0.00 mcg,,27.00 mg,0.00 g,0.031 mg,,,5.304 g,0.145 mg,0.099 g,0.743 g,2.159 g,0.000 g,0.064 g,4.689 g,0.228 g,0.389 mg,0.227 g,0.000 g,,520.00 mg,,0.893 g,63.00 mg,,27.35 g,0.397 mg,12.602 g,35.8 mcg,,100 g,628.00 mg,,,0.00 g,0.26 g,0.007 g,0.007 g,2.050 g,0.201 g,0.00 mg,0.021 mg,,0.48 mg,0.00 mg,0.00 mg,0.08 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,0.068 g,0.149 g,0.003 g,0.514 g,,,,,,522.00 IU,145.00 mcg,1.41 mcg,0.084 mg,0.0 mg,13.00 IU,,,0.48 mg,1.5 mcg,44.29 g,4.44 mg
"Cheese, reduced fat, dry grated, parmesan",,,0.956 g,0.0 g,1.324 g,8.03 g,1.963 g,,,1.054 g,0.00 mg,1109.00 mg,265,,1.37 g,0.00 mcg,51.00 mcg,88.00 mg,20.7 mg,,,,,,,0.238 mg,0.00 mcg,0.028 g,0.526 g,,0.000 g,,0.000 g,,0.000 g,,,0.709 g,,,,,0.000 g,0.000 g,0.000 g,20.00 g,,,,0.0 g,,10.00 mcg,0.00 mcg,,,,7.279 g,0.598 g,,,5.653 g,0.320 g,0.395 g,0.752 g,,,0.90 mg,1.200 g,,2.983 g,0.00 mcg,0.00 mcg,2.459 g,38.00 mg,,0.085 mg,,0.369 g,6.098 g,0.114 mg,,0.221 g,1.868 g,0.000 g,0.241 g,5.402 g,0.211 g,0.325 mg,,,1.604 g,729.00 mg,,0.462 g,125.00 mg,3.231 g,20.00 g,0.486 mg,13.317 g,17.7 mcg,1.614 g,100 g,1529.00 mg,,,,0.00 g,,,2.362 g,,0.00 mg,0.029 mg,1.519 g,0.17 mg,,,,,,,,,,,,,,0.240 g,1.968 g,,1.498 g,605.00 IU,160.00 mcg,2.26 mcg,0.049 mg,0.0 mg,15.00 IU,,0.4 mcg,0.17 mg,1.7 mcg,50.60 g,3.87 mg
"Cheese, shredded, parmesan",,,1.218 g,0.0 g,1.531 g,6.39 g,2.599 g,,,1.375 g,0.00 mg,1253.00 mg,415,,3.41 g,0.00 mcg,73.00 mcg,72.00 mg,15.4 mg,,,,,,,0.037 mg,0.00 mcg,0.274 g,0.686 g,,0.000 g,,0.000 g,,0.000 g,,,0.920 g,,,,,0.000 g,0.000 g,0.177 g,27.34 g,,,,0.0 g,,8.00 mcg,0.00 mcg,,,,9.543 g,0.723 g,,,7.378 g,0.458 g,0.515 g,1.609 g,,,0.87 mg,2.202 g,,4.013 g,0.00 mcg,0.00 mcg,3.843 g,51.00 mg,,0.023 mg,,1.114 g,8.734 g,0.287 mg,,0.290 g,2.432 g,0.000 g,0.345 g,7.050 g,0.275 g,0.527 mg,,,2.234 g,735.00 mg,,0.661 g,97.00 mg,4.860 g,37.86 g,0.352 mg,17.370 g,23.9 mcg,2.404 g,100 g,1696.00 mg,,,,0.90 g,,,3.079 g,,0.00 mg,0.041 mg,1.531 g,0.25 mg,,,,,,,,,,,,,,0.560 g,2.319 g,,2.853 g,865.00 IU,229.00 mcg,1.40 mcg,0.105 mg,0.0 mg,21.00 IU,,0.5 mcg,0.25 mg,1.9 mcg,25.00 g,3.19 mg
"Cheese, sliced, sharp, cheddar",,,0.838 g,0.0 g,1.084 g,3.66 g,1.973 g,,,0.675 g,0.00 mg,711.00 mg,410,,2.13 g,0.00 mcg,85.00 mcg,99.00 mg,16.5 mg,0.117 g,0.001 g,0.007 g,0.775 g,0.388 g,6.667 g,0.035 mg,0.00 mcg,0.144 g,0.857 g,0.0 mcg,0.001 g,0.014 g,0.017 g,0.008 g,0.001 g,0.001 g,0.000 g,0.967 g,0.037 g,0.002 g,0.036 g,0.049 g,0.010 g,0.050 g,0.061 g,33.82 g,1.179 g,0.946 g,0.233 g,0.0 g,,27.00 mcg,0.00 mcg,0.00 g,0.08 g,0.00 g,5.675 g,0.484 g,0.195 g,0.059 g,8.705 g,0.492 g,0.565 g,0.710 g,,,0.16 mg,1.289 g,0.18 g,2.434 g,0.00 mcg,0.00 mcg,2.037 g,27.00 mg,0.00 g,0.024 mg,8.6 mcg,0.587 g,8.428 g,0.039 mg,0.174 g,1.179 g,3.547 g,0.000 g,0.122 g,7.509 g,0.361 g,0.481 mg,0.322 g,0.000 g,1.259 g,460.00 mg,,1.433 g,76.00 mg,2.680 g,24.25 g,0.434 mg,19.368 g,28.3 mcg,1.394 g,100 g,644.00 mg,,,0.00 g,0.27 g,0.009 g,0.000 g,3.103 g,0.305 g,0.00 mg,0.027 mg,1.091 g,0.78 mg,0.00 mg,0.00 mg,0.06 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,0.104 g,0.230 g,0.003 g,0.842 g,,0.321 g,1.317 g,,1.631 g,994.00 IU,263.00 mcg,0.88 mcg,0.075 mg,0.0 mg,41.00 IU,,1.0 mcg,0.78 mg,2.4 mcg,36.15 g,3.74 mg
"Cheese, whole milk, mozzarella",,,0.707 g,0.0 g,0.515 g,3.28 g,1.633 g,,,0.805 g,0.00 mg,505.00 mg,300,,2.19 g,0.00 mcg,57.00 mcg,79.00 mg,15.4 mg,,,,,,,0.011 mg,0.00 mcg,0.115 g,0.582 g,0.0 mcg,0.000 g,,0.000 g,,0.000 g,,,0.690 g,,,,,0.000 g,0.000 g,0.000 g,22.35 g,,,,0.0 g,,7.00 mcg,0.00 mcg,0.15 g,0.15 g,0.56 g,4.458 g,0.515 g,,,5.331 g,0.597 g,0.446 g,0.515 g,,,0.44 mg,1.135 g,0.07 g,1.826 g,0.00 mcg,0.00 mcg,0.965 g,20.00 mg,0.08 g,0.030 mg,,0.515 g,6.573 g,0.104 mg,,0.393 g,2.442 g,0.000 g,0.372 g,5.649 g,0.257 g,0.141 mg,,,1.011 g,354.00 mg,,0.765 g,76.00 mg,2.351 g,22.17 g,0.283 mg,13.152 g,17.0 mcg,0.735 g,100 g,627.00 mg,,,0.03 g,1.03 g,,,2.189 g,,0.00 mg,0.030 mg,0.983 g,0.19 mg,,,,,,,,,,,,,,0.515 g,1.043 g,,1.322 g,676.00 IU,179.00 mcg,2.28 mcg,0.037 mg,0.0 mg,16.00 IU,,0.4 mcg,0.19 mg,2.3 mcg,50.01 g,2.92 mg
"Chicken breast tenders, uncooked, breaded",,,0.722 g,0.0 g,0.804 g,1.77 g,1.189 g,,12.5 mg,0.000 g,0.00 mg,19.00 mg,263,,15.01 g,0.00 mcg,0.00 mcg,41.00 mg,96.4 mg,,,,,,,0.205 mg,0.00 mcg,0.167 g,0.000 g,15.3 mcg,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.000 g,,,,0.000 g,0.000 g,0.000 g,0.037 g,15.75 g,,,,1.1 g,,12.00 mcg,0.00 mcg,0.00 g,0.00 g,0.15 g,2.242 g,0.632 g,0.000 g,,2.650 g,0.510 g,0.000 g,0.435 g,0.075 g,,1.11 mg,0.603 g,0.00 g,1.019 g,0.00 mcg,0.00 mcg,0.988 g,23.00 mg,0.15 g,0.229 mg,,0.300 g,6.480 g,5.710 mg,,3.197 g,0.610 g,0.000 g,0.143 g,5.933 g,0.000 g,0.855 mg,0.000 g,,0.525 g,211.00 mg,,3.340 g,214.00 mg,0.675 g,14.73 g,0.091 mg,3.260 g,24.7 mcg,0.538 g,100 g,536.00 mg,13.32 g,,0.07 g,0.37 g,0.000 g,,0.000 g,0.000 g,0.00 mg,0.211 mg,0.557 g,0.08 mg,,,,,,,,,,,,,,0.184 g,0.331 g,,0.659 g,0.00 IU,0.00 mcg,0.27 mcg,0.041 mg,0.8 mg,9.00 IU,,,0.08 mg,14.7 mcg,52.74 g,0.78 mg
"Chicken breast, sliced, fat-free, oven-roasted",,,1.015 g,0.0 g,1.076 g,3.94 g,1.499 g,,,0.000 g,0.00 mg,6.00 mg,79,,2.17 g,0.00 mcg,0.00 mcg,36.00 mg,,,,,,,,0.034 mg,0.00 mcg,0.229 g,0.000 g,,0.002 g,,0.001 g,,0.000 g,,,0.001 g,,,,,0.001 g,0.006 g,0.003 g,0.39 g,,,,0.0 g,,1.00 mcg,0.00 mcg,,,,2.424 g,1.234 g,,,0.089 g,0.015 g,0.000 g,0.478 g,,,0.32 mg,0.812 g,,1.201 g,0.00 mcg,0.00 mcg,1.335 g,9.00 mg,,0.043 mg,,0.437 g,0.121 g,3.428 mg,,0.060 g,0.032 g,0.000 g,0.003 g,0.103 g,0.000 g,0.241 mg,,,0.645 g,60.00 mg,,0.073 g,67.00 mg,0.884 g,16.79 g,0.029 mg,0.130 g,7.6 mcg,0.601 g,100 g,1087.00 mg,,,,0.10 g,,,0.004 g,,0.00 mg,0.018 mg,0.686 g,,,,,,,,,,,,,,,0.183 g,0.527 g,,0.806 g,0.00 IU,0.00 mcg,0.09 mcg,0.150 mg,0.0 mg,,,,,0.0 mcg,76.71 g,0.30 mg
"Chicken breast, sliced, mesquite flavor, fat-free",,,1.015 g,0.0 g,1.076 g,3.83 g,1.499 g,,,0.000 g,0.00 mg,4.00 mg,80,,2.25 g,0.00 mcg,0.00 mcg,36.00 mg,,,,,,,,0.230 mg,0.00 mcg,0.229 g,0.000 g,,,,,,0.000 g,,,0.000 g,,,,,,,,0.39 g,,,,0.0 g,,1.00 mcg,0.00 mcg,,,,2.424 g,1.234 g,,,0.110 g,0.020 g,0.000 g,0.478 g,,,0.30 mg,0.812 g,,1.201 g,0.00 mcg,0.00 mcg,1.335 g,36.00 mg,,0.034 mg,,0.437 g,0.160 g,2.742 mg,,0.060 g,0.050 g,,0.000 g,0.140 g,0.000 g,0.193 mg,,,0.645 g,256.00 mg,0.00 mg,0.060 g,316.00 mg,0.884 g,16.80 g,0.023 mg,0.130 g,6.1 mcg,0.601 g,100 g,1040.00 mg,,,,0.20 g,,,0.010 g,,0.00 mg,0.014 mg,0.686 g,,,,,,,,,,,,,,,0.183 g,0.527 g,,0.806 g,0.00 IU,0.00 mcg,0.07 mcg,0.120 mg,0.0 mg,,,,,0.0 mcg,76.73 g,0.60 mg
Chicken spread,,,1.037 g,0.0 g,1.117 g,2.97 g,1.580 g,,,0.000 g,0.00 mg,16.00 mg,158,,4.05 g,0.00 mcg,0.00 mcg,56.00 mg,,,,,,,,0.040 mg,0.00 mcg,0.237 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.110 g,17.56 g,,,,0.3 g,,3.00 mcg,0.00 mcg,,,,2.586 g,1.166 g,,,2.410 g,0.630 g,0.000 g,0.517 g,,,0.87 mg,0.879 g,,1.286 g,0.00 mcg,0.00 mcg,1.438 g,12.00 mg,,0.012 mg,,0.469 g,4.800 g,2.748 mg,,2.230 g,0.720 g,0.000 g,0.120 g,4.060 g,0.000 g,0.430 mg,,,0.687 g,89.00 mg,0.00 mg,2.350 g,106.00 mg,0.868 g,18.01 g,0.114 mg,3.230 g,10.8 mcg,0.626 g,100 g,722.00 mg,,,,0.47 g,,,0.100 g,,0.00 mg,0.009 mg,0.730 g,,,,,,,,,,,,,,,0.197 g,0.568 g,,0.859 g,99.00 IU,30.00 mcg,0.13 mcg,0.150 mg,0.0 mg,,,,,,57.41 g,1.15 mg
"Chicken, barbecue flavored, glazed, frozen, wing",,,1.082 g,0.0 g,1.188 g,2.53 g,1.644 g,,,0.000 g,0.00 mg,28.00 mg,211,,3.34 g,0.00 mcg,0.00 mcg,126.00 mg,,,,0.020 g,,,,0.039 mg,0.00 mcg,0.184 g,0.000 g,,0.010 g,0.000 g,0.020 g,,0.000 g,,,0.000 g,0.023 g,,,0.007 g,0.000 g,0.077 g,0.043 g,12.67 g,,,,0.6 g,,10.00 mcg,0.00 mcg,0.51 g,0.00 g,1.16 g,2.527 g,1.268 g,0.007 g,0.000 g,2.637 g,0.960 g,0.000 g,0.462 g,0.511 g,,2.41 mg,0.745 g,0.00 g,1.278 g,0.00 mcg,0.00 mcg,1.352 g,20.00 mg,0.04 g,0.000 mg,,0.414 g,5.766 g,5.500 mg,,2.073 g,0.607 g,0.020 g,0.117 g,4.737 g,0.000 g,0.545 mg,0.000 g,0.000 g,0.726 g,205.00 mg,,2.359 g,190.00 mg,0.906 g,19.67 g,0.242 mg,3.321 g,33.2 mcg,0.708 g,100 g,615.00 mg,0.73 g,,0.34 g,2.04 g,0.000 g,,0.063 g,0.027 g,0.00 mg,0.074 mg,0.743 g,0.36 mg,0.00 mg,0.09 mg,0.40 mg,0.05 mg,0.00 mg,0.00 mg,0.07 mg,,,,,,,0.180 g,0.493 g,,0.809 g,58.00 IU,17.00 mcg,0.40 mcg,0.142 mg,0.0 mg,,,,0.36 mg,,61.79 g,1.14 mg
"Chicken, meat only, wing, BBQ, rotisserie, broiler",,,1.525 g,0.0 g,1.689 g,0.98 g,2.528 g,,,0.000 g,0.00 mg,32.00 mg,184,,0.54 g,0.00 mcg,0.00 mcg,134.00 mg,69.5 mg,,,,,,,0.066 mg,0.00 mcg,0.276 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.028 g,0.023 g,7.79 g,,,,0.0 g,,7.00 mcg,0.00 mcg,0.13 g,0.00 g,0.19 g,3.981 g,1.402 g,,,1.697 g,0.582 g,0.000 g,0.747 g,,,0.97 mg,1.269 g,0.00 g,2.139 g,0.00 mcg,0.00 mcg,2.221 g,24.00 mg,0.00 g,,,0.809 g,3.610 g,7.676 mg,,1.167 g,0.392 g,0.000 g,0.071 g,3.005 g,0.000 g,,,,1.064 g,264.00 mg,,1.266 g,322.00 mg,1.730 g,28.34 g,0.138 mg,2.134 g,51.1 mcg,0.686 g,100 g,725.00 mg,,,0.22 g,0.53 g,,,0.046 g,,0.00 mg,0.092 mg,0.737 g,0.37 mg,,,,,,,,,,,,,,0.287 g,0.829 g,,1.433 g,37.00 IU,11.00 mcg,0.39 mcg,0.184 mg,0.0 mg,0.00 IU,,,0.37 mg,0.0 mcg,62.87 g,2.05 mg
"Chicken, meatless",,,,0.0 g,,1.15 g,,,,0.000 g,0.00 mg,35.00 mg,224,,3.64 g,0.00 mcg,0.00 mcg,0.00 mg,71.6 mg,,,,,,,0.689 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.094 g,,,,,0.000 g,0.000 g,0.000 g,12.73 g,,,,3.6 g,,76.00 mcg,0.00 mcg,,,,,,,,0.995 g,0.000 g,0.000 g,,,,3.27 mg,,,,0.00 mcg,0.00 mcg,,17.00 mg,,1.177 mg,,,2.355 g,1.454 mg,,4.462 g,0.397 g,0.000 g,0.560 g,2.355 g,0.000 g,0.579 mg,,,,335.00 mg,,5.022 g,54.00 mg,,23.64 g,0.247 mg,1.534 g,7.4 mcg,,100 g,709.00 mg,,,,0.00 g,,,0.047 g,,0.00 mg,0.062 mg,,2.68 mg,,,,,,,,,,,,,,,,,,0.00 IU,0.00 mcg,2.18 mcg,0.700 mg,0.0 mg,0.00 IU,,,2.68 mg,0.0 mcg,58.84 g,0.70 mg
